#,codigo_provincia,nombre_provincia,nombre_subzona,poblacion
1,0,,DMQ,
2,1,AZUAY,AZUAY,812379
3,2,BOLIVAR,BOLIVAR,197749
4,3,CAÑAR,CAÑAR,229303
5,4,CARCHI,CARCHI,162518
6,5,COTOPAXI,COTOPAXI,462704
7,6,CHIMBORAZO,CHIMBORAZO,381655
8,7,EL ORO,EL ORO,818545
9,8,ESMERALDAS,ESMERALDAS,596380
10,9,GUAYAS,DMG,7190626
11,10,IMBABURA,IMBABURA,481492
12,11,LOJA,LOJA,712972
13,12,LOS RIOS,LOS RIOS,801933
14,13,MANABI,MANABI,1531938
15,14,MORONA SANTIAGO,MORONA SANTIAGO,237597
16,15,NAPO,NAPO,114093
17,16,PASTAZA,PASTAZA,90843
18,17,PICHINCHA,DMQ,3631974
19,18,TUNGURAHUA,TUNGURAHUA,572027
20,19,ZAMORA CHINCHIPE,ZAMORA CHINCHIPE,89831
21,20,GALAPAGOS,GALAPAGOS,63845
22,21,SUCUMBIOS,SUCUMBIOS,250813
23,22,ORELLANA,ORELLANA,148192
24,23,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO DE LOS TSACHILAS,344359
25,24,SANTA ELENA,SANTA ELENA,373117
26,90,CAÑAR,CAÑAR,229303
